latitude_deg,longitude_deg,part_index
19.44412097,108.74408484,1
19.26995798,108.61027669,1
18.87915322,108.58478942,1
18.53401315,108.69523424,1
18.28869821,109.04674613,1
18.34604456,109.36321302,1
18.22073217,109.56498722,1
18.40976273,109.69879537,1
18.43100212,110.00676651,1
18.73260144,110.40606702,1
19.31987054,110.65987772,1
19.68625000,111.06342611,1
20.03351401,110.93386584,1
19.86466087,110.02694393,1
19.94537055,109.72322067,1
19.78819907,109.34728348,1
19.86041299,109.17736837,1
19.61403608,109.22409503,1
19.44412097,108.74408484,1
NaN,NaN,NaN
21.99921946,120.67000172,2
21.94240409,120.85956327,2
22.59126743,120.95620249,2
23.07021565,121.35550300,2
24.62759384,121.83179630,2
24.84211167,121.75321056,2
25.15645462,121.85091175,2
25.29238671,121.57373772,2
24.95892831,120.98009680,2
23.54013713,120.08379459,2
23.21623645,120.02113839,2
22.55781539,120.26432940,2
22.26471182,120.66362991,2
21.99921946,120.67000172,2
NaN,NaN,NaN
28.32749539,97.50420021,3
28.55688079,97.62314079,3
28.58873988,97.82491498,3
28.31687570,98.28793366,3
27.66482646,98.47908816,3
27.79226279,98.60440056,3
27.60960405,98.85927322,3
26.36709979,98.86564504,3
26.16532560,98.70634962,3
25.99541049,98.80192687,3
25.16495038,97.82916286,3
24.91432559,97.84615437,3
24.70405564,97.61464503,3
24.16457516,97.74845318,3
23.96492491,97.62314079,3
23.83961251,97.72721379,3
24.19006243,98.39625455,3
24.16669910,98.88900837,3
23.86934766,98.74033265,3
23.68881285,98.87945064,3
23.32243339,98.88263655,3
23.08455223,99.10352620,3
23.02508194,99.52831398,3
22.75321777,99.31167221,3
22.54082388,99.34565523,3
22.17975427,99.17998800,3
22.02470673,99.91168495,3
21.72310740,99.89469343,3
21.44062353,100.13894641,3
21.46398686,100.60833690,3
21.75071861,101.02250499,3
21.20911419,101.28587341,3
21.18787480,101.76588360,3
21.62965409,101.82747783,3
22.24453440,101.57472910,3
22.58117872,101.78075117,3
22.46860995,101.84128343,3
22.47498177,102.23208819,3
22.82861760,102.60059159,3
22.53020418,103.14219600,3
22.81056412,103.36202368,3
22.66719824,103.62008225,3
22.87640622,103.77088192,3
22.58861250,104.04274609,3
22.95605393,104.26788362,3
22.82330775,104.48133948,3
22.96985953,104.83603727,3
23.20349281,104.96984542,3
23.45624154,105.40737683,3
23.02614391,105.99676988,3
